X;Y
-12.99999;9.89E-07
-12.99738974;9.89E-07
-12.99478948;9.89E-07
-12.99218922;9.89E-07
-12.98958896;9.89E-07
-12.9869887;9.89E-07
-12.98438844;9.89E-07
-12.98178818;9.89E-07
-12.97918792;9.89E-07
-12.97658766;9.89E-07
-12.9739874;9.89E-07
-12.97138714;9.89E-07
-12.96878688;9.89E-07
-12.96618662;9.89E-07
-12.96358636;9.89E-07
-12.9609861;9.89E-07
-12.95838584;9.89E-07
-12.95578558;9.89E-07
-12.95318532;9.89E-07
-12.95058506;9.89E-07
-12.9479848;9.89E-07
-12.94538454;9.89E-07
-12.94278428;9.89E-07
-12.94018402;9.89E-07
-12.93758376;9.89E-07
-12.9349835;9.89E-07
-12.93238324;9.89E-07
-12.92978298;9.89E-07
-12.92718272;9.89E-07
-12.92458246;9.89E-07
-12.9219822;9.89E-07
-12.91938194;9.89E-07
-12.91678168;9.89E-07
-12.91418142;9.89E-07
-12.91158116;9.89E-07
-12.9089809;9.89E-07
-12.90638064;9.89E-07
-12.90378038;9.89E-07
-12.90118012;9.89E-07
-12.89857986;9.89E-07
-12.8959796;9.89E-07
-12.89337934;9.89E-07
-12.89077908;9.89E-07
-12.88817882;9.89E-07
-12.88557856;9.89E-07
-12.8829783;9.89E-07
-12.88037804;9.89E-07
-12.87777778;9.89E-07
-12.87517752;9.89E-07
-12.87257726;9.89E-07
-12.869977;9.89E-07
-12.86737674;9.89E-07
-12.86477648;9.89E-07
-12.86217622;9.89E-07
-12.85957596;9.89E-07
-12.8569757;9.89E-07
-12.85437544;9.89E-07
-12.85177518;9.89E-07
-12.84917492;9.89E-07
-12.84657466;9.89E-07
-12.8439744;9.89E-07
-12.84137414;9.89E-07
-12.83877388;9.89E-07
-12.83617362;9.89E-07
-12.83357336;9.89E-07
-12.8309731;9.89E-07
-12.82837284;9.89E-07
-12.82577258;9.89E-07
-12.82317232;9.89E-07
-12.82057206;9.89E-07
-12.8179718;9.89E-07
-12.81537154;9.89E-07
-12.81277128;9.89E-07
-12.81017102;9.89E-07
-12.80757076;9.89E-07
-12.8049705;9.89E-07
-12.80237024;9.89E-07
-12.79976998;9.89E-07
-12.79716972;9.89E-07
-12.79456946;9.89E-07
-12.7919692;9.89E-07
-12.78936894;9.89E-07
-12.78676868;9.89E-07
-12.78416842;9.89E-07
-12.78156816;9.89E-07
-12.7789679;9.89E-07
-12.77636764;9.89E-07
-12.77376738;9.89E-07
-12.77116712;9.89E-07
-12.76856686;9.89E-07
-12.7659666;9.89E-07
-12.76336634;9.89E-07
-12.76076608;9.89E-07
-12.75816582;9.89E-07
-12.75556556;9.89E-07
-12.7529653;9.89E-07
-12.75036504;9.89E-07
-12.74776478;9.89E-07
-12.74516452;9.89E-07
-12.74256426;9.89E-07
-12.739964;9.89E-07
-12.73736374;9.89E-07
-12.73476348;9.89E-07
-12.73216322;9.89E-07
-12.72956296;9.89E-07
-12.7269627;9.89E-07
-12.72436244;9.89E-07
-12.72176218;9.89E-07
-12.71916192;9.89E-07
-12.71656166;9.89E-07
-12.7139614;9.89E-07
-12.71136114;9.89E-07
-12.70876088;9.89E-07
-12.70616062;9.89E-07
-12.70356036;9.89E-07
-12.7009601;9.89E-07
-12.69835984;9.89E-07
-12.69575958;9.89E-07
-12.69315932;9.89E-07
-12.69055906;9.89E-07
-12.6879588;9.89E-07
-12.68535854;9.89E-07
-12.68275828;9.89E-07
-12.68015802;9.89E-07
-12.67755776;9.89E-07
-12.6749575;9.89E-07
-12.67235724;9.89E-07
-12.66975698;9.89E-07
-12.66715672;9.89E-07
-12.66455646;9.89E-07
-12.6619562;9.89E-07
-12.65935594;9.89E-07
-12.65675568;9.89E-07
-12.65415542;9.89E-07
-12.65155516;9.89E-07
-12.6489549;9.89E-07
-12.64635464;9.89E-07
-12.64375438;9.89E-07
-12.64115412;9.89E-07
-12.63855386;9.89E-07
-12.6359536;9.89E-07
-12.63335334;9.89E-07
-12.63075308;9.89E-07
-12.62815282;9.89E-07
-12.62555256;9.89E-07
-12.6229523;9.89E-07
-12.62035204;9.89E-07
-12.61775178;9.89E-07
-12.61515152;9.89E-07
-12.61255126;9.89E-07
-12.609951;9.89E-07
-12.60735074;9.89E-07
-12.60475048;9.89E-07
-12.60215022;9.89E-07
-12.59954996;9.89E-07
-12.5969497;9.89E-07
-12.59434944;9.89E-07
-12.59174918;9.89E-07
-12.58914892;9.89E-07
-12.58654866;9.89E-07
-12.5839484;9.89E-07
-12.58134814;9.89E-07
-12.57874788;9.89E-07
-12.57614762;9.89E-07
-12.57354736;9.89E-07
-12.5709471;9.89E-07
-12.56834684;9.89E-07
-12.56574658;9.89E-07
-12.56314632;9.89E-07
-12.56054606;9.89E-07
-12.5579458;9.89E-07
-12.55534554;9.89E-07
-12.55274528;9.89E-07
-12.55014502;9.89E-07
-12.54754476;9.89E-07
-12.5449445;9.89E-07
-12.54234424;9.89E-07
-12.53974398;9.89E-07
-12.53714372;9.89E-07
-12.53454346;9.89E-07
-12.5319432;9.89E-07
-12.52934294;9.89E-07
-12.52674268;9.89E-07
-12.52414242;9.89E-07
-12.52154216;9.89E-07
-12.5189419;9.89E-07
-12.51634164;9.89E-07
-12.51374138;9.89E-07
-12.51114112;9.89E-07
-12.50854086;9.89E-07
-12.5059406;9.89E-07
-12.50334034;9.89E-07
-12.50074008;9.89E-07
-12.49813981;9.89E-07
-12.49553955;9.89E-07
-12.49293929;9.89E-07
-12.49033903;9.89E-07
-12.48773877;9.89E-07
-12.48513851;9.89E-07
-12.48253825;9.89E-07
-12.47993799;9.89E-07
-12.47733773;9.89E-07
-12.47473747;9.89E-07
-12.47213721;9.89E-07
-12.46953695;9.89E-07
-12.46693669;9.89E-07
