X;Y
-4.99999;2.26E-05
-4.9989899;2.26E-05
-4.9979898;2.26E-05
-4.9969897;2.26E-05
-4.9959896;2.26E-05
-4.9949895;2.26E-05
-4.9939894;2.26E-05
-4.9929893;2.26E-05
-4.9919892;2.26E-05
-4.9909891;2.26E-05
-4.989989;2.26E-05
-4.9889889;2.26E-05
-4.9879888;2.26E-05
-4.9869887;2.26E-05
-4.9859886;2.26E-05
-4.9849885;2.26E-05
-4.9839884;2.26E-05
-4.9829883;2.26E-05
-4.9819882;2.26E-05
-4.9809881;2.26E-05
-4.979988;2.26E-05
-4.9789879;2.26E-05
-4.9779878;2.26E-05
-4.9769877;2.26E-05
-4.9759876;2.26E-05
-4.9749875;2.26E-05
-4.9739874;2.26E-05
-4.9729873;2.26E-05
-4.9719872;2.26E-05
-4.9709871;2.26E-05
-4.969987;2.26E-05
-4.9689869;2.26E-05
-4.9679868;2.26E-05
-4.9669867;2.26E-05
-4.9659866;2.26E-05
-4.9649865;2.26E-05
-4.9639864;2.26E-05
-4.9629863;2.26E-05
-4.9619862;2.26E-05
-4.9609861;2.26E-05
-4.959986;2.26E-05
-4.9589859;2.26E-05
-4.9579858;2.26E-05
-4.9569857;2.26E-05
-4.9559856;2.26E-05
-4.9549855;2.26E-05
-4.9539854;2.26E-05
-4.9529853;2.26E-05
-4.9519852;2.26E-05
-4.9509851;2.26E-05
-4.949984999;2.26E-05
-4.948984899;2.26E-05
-4.947984799;2.26E-05
-4.946984699;2.26E-05
-4.945984599;2.26E-05
-4.944984499;2.26E-05
-4.943984399;2.26E-05
-4.942984299;2.26E-05
-4.941984199;2.26E-05
-4.940984099;2.26E-05
-4.939983999;2.26E-05
-4.938983899;2.26E-05
-4.937983799;2.26E-05
-4.936983699;2.26E-05
-4.935983599;2.26E-05
-4.934983499;2.26E-05
-4.933983399;2.26E-05
-4.932983299;2.26E-05
-4.931983199;2.26E-05
-4.930983099;2.26E-05
-4.929982999;2.26E-05
-4.928982899;2.26E-05
-4.927982799;2.26E-05
-4.926982699;2.26E-05
-4.925982599;2.26E-05
-4.924982499;2.26E-05
-4.923982399;2.26E-05
-4.922982299;2.26E-05
-4.921982199;2.26E-05
-4.920982099;2.26E-05
-4.919981999;2.26E-05
-4.918981899;2.26E-05
-4.917981799;2.26E-05
-4.916981699;2.26E-05
-4.915981599;2.26E-05
-4.914981499;2.26E-05
-4.913981399;2.26E-05
-4.912981299;2.26E-05
-4.911981199;2.26E-05
-4.910981099;2.26E-05
-4.909980999;2.26E-05
-4.908980899;2.26E-05
-4.907980799;2.26E-05
-4.906980699;2.26E-05
-4.905980599;2.26E-05
-4.904980499;2.26E-05
-4.903980399;2.26E-05
-4.902980299;2.26E-05
-4.901980199;2.26E-05
-4.900980099;2.26E-05
-4.899979999;2.26E-05
-4.898979899;2.26E-05
-4.897979799;2.26E-05
-4.896979699;2.26E-05
-4.895979599;2.26E-05
-4.894979499;2.26E-05
-4.893979399;2.26E-05
-4.892979299;2.26E-05
-4.891979199;2.26E-05
-4.890979099;2.26E-05
-4.889978999;2.26E-05
-4.888978899;2.26E-05
-4.887978799;2.26E-05
-4.886978699;2.26E-05
-4.885978599;2.26E-05
-4.884978499;2.26E-05
-4.883978399;2.26E-05
-4.882978299;2.26E-05
-4.881978199;2.26E-05
-4.880978099;2.26E-05
-4.879977999;2.26E-05
-4.878977899;2.26E-05
-4.877977799;2.26E-05
-4.876977699;2.26E-05
-4.875977599;2.26E-05
-4.874977499;2.26E-05
-4.873977399;2.26E-05
-4.872977299;2.26E-05
-4.871977199;2.26E-05
-4.870977099;2.26E-05
-4.869976999;2.26E-05
-4.868976899;2.26E-05
-4.867976799;2.26E-05
-4.866976699;2.26E-05
-4.865976599;2.26E-05
-4.864976499;2.26E-05
-4.863976399;2.26E-05
-4.862976299;2.26E-05
-4.861976199;2.26E-05
-4.860976099;2.26E-05
-4.859975999;2.26E-05
-4.858975899;2.26E-05
-4.857975799;2.26E-05
-4.856975699;2.26E-05
-4.855975599;2.26E-05
-4.854975499;2.26E-05
