X;Y
-8.99999;5.11E-06
-8.99818982;5.11E-06
-8.99638964;5.11E-06
-8.99458946;5.11E-06
-8.99278928;5.11E-06
-8.9909891;5.11E-06
-8.98918892;5.11E-06
-8.98738874;5.11E-06
-8.98558856;5.11E-06
-8.98378838;5.11E-06
-8.9819882;5.11E-06
-8.98018802;5.11E-06
-8.97838784;5.11E-06
-8.97658766;5.11E-06
-8.97478748;5.11E-06
-8.9729873;5.11E-06
-8.97118712;5.11E-06
-8.96938694;5.11E-06
-8.96758676;5.11E-06
-8.96578658;5.11E-06
-8.9639864;5.11E-06
-8.96218622;5.11E-06
-8.96038604;5.11E-06
-8.95858586;5.11E-06
-8.95678568;5.11E-06
-8.9549855;5.11E-06
-8.95318532;5.11E-06
-8.95138514;5.11E-06
-8.949584959;5.11E-06
-8.947784779;5.11E-06
-8.945984599;5.11E-06
-8.944184419;5.11E-06
-8.942384239;5.11E-06
-8.940584059;5.11E-06
-8.938783879;5.11E-06
-8.936983699;5.11E-06
-8.935183519;5.11E-06
-8.933383339;5.11E-06
-8.931583159;5.11E-06
-8.929782979;5.11E-06
-8.927982799;5.11E-06
-8.926182619;5.11E-06
-8.924382439;5.11E-06
-8.922582259;5.11E-06
-8.920782079;5.11E-06
-8.918981899;5.11E-06
-8.917181719;5.11E-06
-8.915381539;5.11E-06
-8.913581359;5.11E-06
-8.911781179;5.11E-06
-8.909980999;5.11E-06
-8.908180819;5.11E-06
-8.906380639;5.11E-06
-8.904580459;5.11E-06
-8.902780279;5.11E-06
-8.900980099;5.11E-06
-8.899179919;5.11E-06
-8.897379739;5.11E-06
-8.895579559;5.11E-06
-8.893779379;5.11E-06
-8.891979199;5.11E-06
-8.890179019;5.11E-06
-8.888378839;5.11E-06
-8.886578659;5.11E-06
-8.884778479;5.11E-06
-8.882978299;5.11E-06
-8.881178119;5.11E-06
-8.879377939;5.11E-06
-8.877577759;5.11E-06
-8.875777579;5.11E-06
-8.873977399;5.11E-06
-8.872177219;5.11E-06
-8.870377039;5.11E-06
-8.868576859;5.11E-06
-8.866776679;5.11E-06
-8.864976499;5.11E-06
-8.863176319;5.11E-06
-8.861376139;5.11E-06
-8.859575959;5.11E-06
-8.857775779;5.11E-06
-8.855975599;5.11E-06
-8.854175419;5.11E-06
-8.852375239;5.11E-06
-8.850575059;5.11E-06
-8.848774878;5.11E-06
-8.846974698;5.11E-06
-8.845174518;5.11E-06
-8.843374338;5.11E-06
-8.841574158;5.11E-06
-8.839773978;5.11E-06
-8.837973798;5.11E-06
-8.836173618;5.11E-06
-8.834373438;5.11E-06
-8.832573258;5.11E-06
-8.830773078;5.11E-06
-8.828972898;5.11E-06
-8.827172718;5.11E-06
-8.825372538;5.11E-06
-8.823572358;5.11E-06
-8.821772178;5.11E-06
-8.819971998;5.11E-06
-8.818171818;5.11E-06
-8.816371638;5.11E-06
-8.814571458;5.11E-06
-8.812771278;5.11E-06
-8.810971098;5.11E-06
-8.809170918;5.11E-06
-8.807370738;5.11E-06
-8.805570558;5.11E-06
-8.803770378;5.11E-06
-8.801970198;5.11E-06
-8.800170018;5.11E-06
-8.798369838;5.11E-06
-8.796569658;5.11E-06
-8.794769478;5.11E-06
-8.792969298;5.11E-06
-8.791169118;5.11E-06
-8.789368938;5.11E-06
-8.787568758;5.11E-06
-8.785768578;5.11E-06
-8.783968398;5.11E-06
-8.782168218;5.11E-06
-8.780368038;5.11E-06
-8.778567858;5.11E-06
-8.776767678;5.11E-06
-8.774967498;5.11E-06
-8.773167318;5.11E-06
-8.771367138;5.11E-06
-8.769566958;5.11E-06
-8.767766778;5.11E-06
-8.765966598;5.11E-06
-8.764166418;5.11E-06
-8.762366238;5.11E-06
-8.760566058;5.11E-06
-8.758765878;5.11E-06
-8.756965698;5.11E-06
-8.755165518;5.11E-06
-8.753365338;5.11E-06
-8.751565158;5.11E-06
-8.749764977;5.11E-06
-8.747964797;5.11E-06
-8.746164617;5.11E-06
-8.744364437;5.11E-06
-8.742564257;5.11E-06
-8.740764077;5.11E-06
-8.738963897;5.11E-06
-8.737163717;5.11E-06
-8.735363537;5.11E-06
-8.733563357;5.11E-06
-8.731763177;5.11E-06
-8.729962997;5.11E-06
-8.728162817;5.11E-06
-8.726362637;5.11E-06
-8.724562457;5.11E-06
-8.722762277;5.11E-06
-8.720962097;5.11E-06
-8.719161917;5.11E-06
-8.717361737;5.11E-06
-8.715561557;5.11E-06
-8.713761377;5.11E-06
-8.711961197;5.11E-06
-8.710161017;5.11E-06
-8.708360837;5.11E-06
-8.706560657;5.11E-06
-8.704760477;5.11E-06
-8.702960297;5.11E-06
-8.701160117;5.11E-06
-8.699359937;5.11E-06
-8.697559757;5.11E-06
-8.695759577;5.11E-06
-8.693959397;5.11E-06
-8.692159217;5.11E-06
