X;Y
-6.99999;1.10E-05
-6.99858986;1.10E-05
-6.99718972;1.10E-05
-6.99578958;1.10E-05
-6.99438944;1.10E-05
-6.9929893;1.10E-05
-6.99158916;1.10E-05
-6.99018902;1.10E-05
-6.98878888;1.10E-05
-6.98738874;1.10E-05
-6.9859886;1.10E-05
-6.98458846;1.10E-05
-6.98318832;1.10E-05
-6.98178818;1.10E-05
-6.98038804;1.10E-05
-6.9789879;1.10E-05
-6.97758776;1.10E-05
-6.97618762;1.10E-05
-6.97478748;1.10E-05
-6.97338734;1.10E-05
-6.9719872;1.10E-05
-6.97058706;1.10E-05
-6.96918692;1.10E-05
-6.96778678;1.10E-05
-6.96638664;1.10E-05
-6.9649865;1.10E-05
-6.96358636;1.10E-05
-6.96218622;1.10E-05
-6.96078608;1.10E-05
-6.95938594;1.10E-05
-6.9579858;1.10E-05
-6.95658566;1.10E-05
-6.95518552;1.10E-05
-6.95378538;1.10E-05
-6.95238524;1.10E-05
-6.9509851;1.10E-05
-6.949584959;1.10E-05
-6.948184819;1.10E-05
-6.946784679;1.10E-05
-6.945384539;1.10E-05
-6.943984399;1.10E-05
-6.942584259;1.10E-05
-6.941184119;1.10E-05
-6.939783979;1.10E-05
-6.938383839;1.10E-05
-6.936983699;1.10E-05
-6.935583559;1.10E-05
-6.934183419;1.10E-05
-6.932783279;1.10E-05
-6.931383139;1.10E-05
-6.929982999;1.10E-05
-6.928582859;1.10E-05
-6.927182719;1.10E-05
-6.925782579;1.10E-05
-6.924382439;1.10E-05
-6.922982299;1.10E-05
-6.921582159;1.10E-05
-6.920182019;1.10E-05
-6.918781879;1.10E-05
-6.917381739;1.10E-05
-6.915981599;1.10E-05
-6.914581459;1.10E-05
-6.913181319;1.10E-05
-6.911781179;1.10E-05
-6.910381039;1.10E-05
-6.908980899;1.10E-05
-6.907580759;1.10E-05
-6.906180619;1.10E-05
-6.904780479;1.10E-05
-6.903380339;1.10E-05
-6.901980199;1.10E-05
-6.900580059;1.10E-05
-6.899179919;1.10E-05
-6.897779779;1.10E-05
-6.896379639;1.10E-05
-6.894979499;1.10E-05
-6.893579359;1.10E-05
-6.892179219;1.10E-05
-6.890779079;1.10E-05
-6.889378939;1.10E-05
-6.887978799;1.10E-05
-6.886578659;1.10E-05
-6.885178519;1.10E-05
-6.883778379;1.10E-05
-6.882378239;1.10E-05
-6.880978099;1.10E-05
-6.879577959;1.10E-05
-6.878177819;1.10E-05
-6.876777679;1.10E-05
-6.875377539;1.10E-05
-6.873977399;1.10E-05
-6.872577259;1.10E-05
-6.871177119;1.10E-05
-6.869776979;1.10E-05
-6.868376839;1.10E-05
-6.866976699;1.10E-05
-6.865576559;1.10E-05
-6.864176419;1.10E-05
-6.862776279;1.10E-05
-6.861376139;1.10E-05
-6.859975999;1.10E-05
-6.858575859;1.10E-05
-6.857175719;1.10E-05
-6.855775579;1.10E-05
-6.854375439;1.10E-05
-6.852975299;1.10E-05
-6.851575159;1.10E-05
-6.850175019;1.10E-05
-6.848774878;1.10E-05
-6.847374738;1.10E-05
-6.845974598;1.10E-05
-6.844574458;1.10E-05
-6.843174318;1.10E-05
-6.841774178;1.10E-05
-6.840374038;1.10E-05
-6.838973898;1.10E-05
-6.837573758;1.10E-05
-6.836173618;1.10E-05
-6.834773478;1.10E-05
-6.833373338;1.10E-05
-6.831973198;1.10E-05
-6.830573058;1.10E-05
-6.829172918;1.10E-05
-6.827772778;1.10E-05
-6.826372638;1.10E-05
-6.824972498;1.10E-05
-6.823572358;1.10E-05
-6.822172218;1.10E-05
-6.820772078;1.10E-05
-6.819371938;1.10E-05
-6.817971798;1.10E-05
-6.816571658;1.10E-05
-6.815171518;1.10E-05
-6.813771378;1.10E-05
-6.812371238;1.10E-05
-6.810971098;1.10E-05
-6.809570958;1.10E-05
-6.808170818;1.10E-05
-6.806770678;1.10E-05
-6.805370538;1.10E-05
-6.803970398;1.10E-05
-6.802570258;1.10E-05
-6.801170118;1.10E-05
-6.799769978;1.10E-05
-6.798369838;1.10E-05
-6.796969698;1.10E-05
-6.795569558;1.10E-05
-6.794169418;1.10E-05
-6.792769278;1.10E-05
-6.791369138;1.10E-05
-6.789968998;1.10E-05
-6.788568858;1.10E-05
-6.787168718;1.10E-05
-6.785768578;1.10E-05
-6.784368438;1.10E-05
-6.782968298;1.10E-05
-6.781568158;1.10E-05
-6.780168018;1.10E-05
-6.778767878;1.10E-05
-6.777367738;1.10E-05
-6.775967598;1.10E-05
-6.774567458;1.10E-05
-6.773167318;1.10E-05
-6.771767178;1.10E-05
-6.770367038;1.10E-05
-6.768966898;1.10E-05
-6.767566758;1.10E-05
-6.766166618;1.10E-05
-6.764766478;1.10E-05
-6.763366338;1.10E-05
-6.761966198;1.10E-05
-6.760566058;1.10E-05
-6.759165918;1.10E-05
-6.757765778;1.10E-05
-6.756365638;1.10E-05
-6.754965498;1.10E-05
-6.753565358;1.10E-05
-6.752165218;1.10E-05
-6.750765078;1.10E-05
-6.749364937;1.10E-05
-6.747964797;1.10E-05
-6.746564657;1.10E-05
-6.745164517;1.10E-05
-6.743764377;1.10E-05
-6.742364237;1.10E-05
-6.740964097;1.10E-05
-6.739563957;1.10E-05
-6.738163817;1.10E-05
-6.736763677;1.10E-05
-6.735363537;1.10E-05
-6.733963397;1.10E-05
