X;Y
-6.99999;6.91E-05
-6.99858986;6.91E-05
-6.99718972;6.91E-05
-6.99578958;6.91E-05
-6.99438944;6.91E-05
-6.9929893;6.91E-05
-6.99158916;6.91E-05
-6.99018902;6.91E-05
-6.98878888;6.91E-05
-6.98738874;6.91E-05
-6.9859886;6.91E-05
-6.98458846;6.91E-05
-6.98318832;6.91E-05
-6.98178818;6.91E-05
-6.98038804;6.91E-05
-6.9789879;6.91E-05
-6.97758776;6.91E-05
-6.97618762;6.91E-05
-6.97478748;6.91E-05
-6.97338734;6.91E-05
-6.9719872;6.91E-05
-6.97058706;6.91E-05
-6.96918692;6.91E-05
-6.96778678;6.91E-05
-6.96638664;6.91E-05
-6.9649865;6.91E-05
-6.96358636;6.91E-05
-6.96218622;6.91E-05
-6.96078608;6.91E-05
-6.95938594;6.91E-05
-6.9579858;6.91E-05
-6.95658566;6.91E-05
-6.95518552;6.91E-05
-6.95378538;6.91E-05
-6.95238524;6.91E-05
-6.9509851;6.91E-05
-6.949584959;6.91E-05
-6.948184819;6.91E-05
-6.946784679;6.91E-05
-6.945384539;6.91E-05
-6.943984399;6.91E-05
-6.942584259;6.91E-05
-6.941184119;6.91E-05
-6.939783979;6.91E-05
-6.938383839;6.91E-05
-6.936983699;6.91E-05
-6.935583559;6.91E-05
-6.934183419;6.91E-05
-6.932783279;6.91E-05
-6.931383139;6.91E-05
-6.929982999;6.91E-05
-6.928582859;6.91E-05
-6.927182719;6.91E-05
-6.925782579;6.91E-05
-6.924382439;6.91E-05
-6.922982299;6.91E-05
-6.921582159;6.91E-05
-6.920182019;6.91E-05
-6.918781879;6.91E-05
-6.917381739;6.91E-05
-6.915981599;6.91E-05
-6.914581459;6.91E-05
-6.913181319;6.91E-05
-6.911781179;6.91E-05
-6.910381039;6.91E-05
-6.908980899;6.91E-05
-6.907580759;6.91E-05
-6.906180619;6.91E-05
-6.904780479;6.91E-05
-6.903380339;6.91E-05
-6.901980199;6.91E-05
-6.900580059;6.91E-05
-6.899179919;6.91E-05
-6.897779779;6.91E-05
-6.896379639;6.91E-05
-6.894979499;6.91E-05
-6.893579359;6.91E-05
-6.892179219;6.91E-05
-6.890779079;6.91E-05
-6.889378939;6.91E-05
-6.887978799;6.91E-05
-6.886578659;6.91E-05
-6.885178519;6.91E-05
-6.883778379;6.91E-05
-6.882378239;6.91E-05
-6.880978099;6.91E-05
-6.879577959;6.91E-05
-6.878177819;6.91E-05
-6.876777679;6.91E-05
-6.875377539;6.91E-05
-6.873977399;6.91E-05
-6.872577259;6.91E-05
-6.871177119;6.91E-05
-6.869776979;6.91E-05
-6.868376839;6.91E-05
-6.866976699;6.91E-05
-6.865576559;6.91E-05
-6.864176419;6.91E-05
-6.862776279;6.91E-05
-6.861376139;6.91E-05
-6.859975999;6.91E-05
-6.858575859;6.91E-05
-6.857175719;6.91E-05
-6.855775579;6.91E-05
-6.854375439;6.91E-05
-6.852975299;6.91E-05
-6.851575159;6.91E-05
-6.850175019;6.91E-05
-6.848774878;6.91E-05
-6.847374738;6.91E-05
-6.845974598;6.91E-05
-6.844574458;6.91E-05
-6.843174318;6.91E-05
-6.841774178;6.91E-05
-6.840374038;6.91E-05
-6.838973898;6.91E-05
-6.837573758;6.91E-05
-6.836173618;6.91E-05
-6.834773478;6.91E-05
-6.833373338;6.91E-05
-6.831973198;6.91E-05
-6.830573058;6.91E-05
-6.829172918;6.91E-05
-6.827772778;6.91E-05
-6.826372638;6.91E-05
-6.824972498;6.91E-05
-6.823572358;6.91E-05
-6.822172218;6.91E-05
-6.820772078;6.91E-05
-6.819371938;6.91E-05
-6.817971798;6.91E-05
-6.816571658;6.91E-05
-6.815171518;6.91E-05
-6.813771378;6.91E-05
-6.812371238;6.91E-05
-6.810971098;6.91E-05
-6.809570958;6.91E-05
-6.808170818;6.91E-05
-6.806770678;6.91E-05
-6.805370538;6.91E-05
-6.803970398;6.91E-05
-6.802570258;6.91E-05
-6.801170118;6.91E-05
-6.799769978;6.91E-05
-6.798369838;6.91E-05
-6.796969698;6.91E-05
-6.795569558;6.91E-05
-6.794169418;6.91E-05
-6.792769278;6.91E-05
-6.791369138;6.91E-05
-6.789968998;6.91E-05
-6.788568858;6.91E-05
-6.787168718;6.91E-05
-6.785768578;6.91E-05
-6.784368438;6.91E-05
-6.782968298;6.91E-05
-6.781568158;6.91E-05
-6.780168018;6.91E-05
-6.778767878;6.91E-05
-6.777367738;6.91E-05
-6.775967598;6.91E-05
-6.774567458;6.91E-05
-6.773167318;6.91E-05
-6.771767178;6.91E-05
-6.770367038;6.91E-05
-6.768966898;6.91E-05
-6.767566758;6.91E-05
-6.766166618;6.91E-05
-6.764766478;6.91E-05
-6.763366338;6.91E-05
-6.761966198;6.91E-05
-6.760566058;6.91E-05
-6.759165918;6.91E-05
-6.757765778;6.91E-05
-6.756365638;6.91E-05
-6.754965498;6.91E-05
-6.753565358;6.91E-05
-6.752165218;6.91E-05
-6.750765078;6.91E-05
-6.749364937;6.91E-05
-6.747964797;6.91E-05
-6.746564657;6.91E-05
-6.745164517;6.91E-05
-6.743764377;6.91E-05
-6.742364237;6.91E-05
-6.740964097;6.91E-05
-6.739563957;6.91E-05
-6.738163817;6.91E-05
-6.736763677;6.91E-05
