X;Y
-8.99999;6.17E-05
-8.99818982;6.17E-05
-8.99638964;6.17E-05
-8.99458946;6.17E-05
-8.99278928;6.17E-05
-8.9909891;6.17E-05
-8.98918892;6.17E-05
-8.98738874;6.17E-05
-8.98558856;6.17E-05
-8.98378838;6.17E-05
-8.9819882;6.17E-05
-8.98018802;6.17E-05
-8.97838784;6.17E-05
-8.97658766;6.17E-05
-8.97478748;6.17E-05
-8.9729873;6.17E-05
-8.97118712;6.17E-05
-8.96938694;6.17E-05
-8.96758676;6.17E-05
-8.96578658;6.17E-05
-8.9639864;6.17E-05
-8.96218622;6.17E-05
-8.96038604;6.17E-05
-8.95858586;6.17E-05
-8.95678568;6.17E-05
-8.9549855;6.17E-05
-8.95318532;6.17E-05
-8.95138514;6.17E-05
-8.949584959;6.17E-05
-8.947784779;6.17E-05
-8.945984599;6.17E-05
-8.944184419;6.17E-05
-8.942384239;6.17E-05
-8.940584059;6.17E-05
-8.938783879;6.17E-05
-8.936983699;6.17E-05
-8.935183519;6.17E-05
-8.933383339;6.17E-05
-8.931583159;6.17E-05
-8.929782979;6.17E-05
-8.927982799;6.17E-05
-8.926182619;6.17E-05
-8.924382439;6.17E-05
-8.922582259;6.17E-05
-8.920782079;6.17E-05
-8.918981899;6.17E-05
-8.917181719;6.17E-05
-8.915381539;6.17E-05
-8.913581359;6.17E-05
-8.911781179;6.17E-05
-8.909980999;6.17E-05
-8.908180819;6.17E-05
-8.906380639;6.17E-05
-8.904580459;6.17E-05
-8.902780279;6.17E-05
-8.900980099;6.17E-05
-8.899179919;6.17E-05
-8.897379739;6.17E-05
-8.895579559;6.17E-05
-8.893779379;6.17E-05
-8.891979199;6.17E-05
-8.890179019;6.17E-05
-8.888378839;6.17E-05
-8.886578659;6.17E-05
-8.884778479;6.17E-05
-8.882978299;6.17E-05
-8.881178119;6.17E-05
-8.879377939;6.17E-05
-8.877577759;6.17E-05
-8.875777579;6.17E-05
-8.873977399;6.17E-05
-8.872177219;6.17E-05
-8.870377039;6.17E-05
-8.868576859;6.17E-05
-8.866776679;6.17E-05
-8.864976499;6.17E-05
-8.863176319;6.17E-05
-8.861376139;6.17E-05
-8.859575959;6.17E-05
-8.857775779;6.17E-05
-8.855975599;6.17E-05
-8.854175419;6.17E-05
-8.852375239;6.17E-05
-8.850575059;6.17E-05
-8.848774878;6.17E-05
-8.846974698;6.17E-05
-8.845174518;6.17E-05
-8.843374338;6.17E-05
-8.841574158;6.17E-05
-8.839773978;6.17E-05
-8.837973798;6.17E-05
-8.836173618;6.17E-05
-8.834373438;6.17E-05
-8.832573258;6.17E-05
-8.830773078;6.17E-05
-8.828972898;6.17E-05
-8.827172718;6.17E-05
-8.825372538;6.17E-05
-8.823572358;6.17E-05
-8.821772178;6.17E-05
-8.819971998;6.17E-05
-8.818171818;6.17E-05
-8.816371638;6.17E-05
-8.814571458;6.17E-05
-8.812771278;6.17E-05
-8.810971098;6.17E-05
-8.809170918;6.17E-05
-8.807370738;6.17E-05
-8.805570558;6.17E-05
-8.803770378;6.17E-05
-8.801970198;6.17E-05
-8.800170018;6.17E-05
-8.798369838;6.17E-05
-8.796569658;6.17E-05
-8.794769478;6.17E-05
-8.792969298;6.17E-05
-8.791169118;6.17E-05
-8.789368938;6.17E-05
-8.787568758;6.17E-05
-8.785768578;6.17E-05
-8.783968398;6.17E-05
-8.782168218;6.17E-05
-8.780368038;6.17E-05
-8.778567858;6.17E-05
-8.776767678;6.17E-05
-8.774967498;6.17E-05
-8.773167318;6.17E-05
-8.771367138;6.17E-05
-8.769566958;6.17E-05
-8.767766778;6.17E-05
-8.765966598;6.17E-05
-8.764166418;6.17E-05
-8.762366238;6.17E-05
-8.760566058;6.17E-05
-8.758765878;6.17E-05
-8.756965698;6.17E-05
-8.755165518;6.17E-05
-8.753365338;6.17E-05
-8.751565158;6.17E-05
-8.749764977;6.17E-05
-8.747964797;6.17E-05
-8.746164617;6.17E-05
-8.744364437;6.17E-05
-8.742564257;6.17E-05
-8.740764077;6.17E-05
-8.738963897;6.17E-05
-8.737163717;6.17E-05
-8.735363537;6.17E-05
-8.733563357;6.17E-05
-8.731763177;6.17E-05
-8.729962997;6.17E-05
-8.728162817;6.17E-05
-8.726362637;6.17E-05
-8.724562457;6.17E-05
-8.722762277;6.17E-05
-8.720962097;6.17E-05
-8.719161917;6.17E-05
-8.717361737;6.17E-05
-8.715561557;6.17E-05
-8.713761377;6.17E-05
-8.711961197;6.17E-05
-8.710161017;6.17E-05
-8.708360837;6.17E-05
-8.706560657;6.17E-05
-8.704760477;6.17E-05
-8.702960297;6.17E-05
-8.701160117;6.17E-05
