X;Y
-4.99999;1.11E-05
-4.9989899;1.11E-05
-4.9979898;1.11E-05
-4.9969897;1.11E-05
-4.9959896;1.11E-05
-4.9949895;1.11E-05
-4.9939894;1.11E-05
-4.9929893;1.11E-05
-4.9919892;1.11E-05
-4.9909891;1.11E-05
-4.989989;1.11E-05
-4.9889889;1.11E-05
-4.9879888;1.11E-05
-4.9869887;1.11E-05
-4.9859886;1.11E-05
-4.9849885;1.11E-05
-4.9839884;1.11E-05
-4.9829883;1.11E-05
-4.9819882;1.11E-05
-4.9809881;1.11E-05
-4.979988;1.11E-05
-4.9789879;1.11E-05
-4.9779878;1.11E-05
-4.9769877;1.11E-05
-4.9759876;1.11E-05
-4.9749875;1.11E-05
-4.9739874;1.11E-05
-4.9729873;1.11E-05
-4.9719872;1.11E-05
-4.9709871;1.11E-05
-4.969987;1.11E-05
-4.9689869;1.11E-05
-4.9679868;1.11E-05
-4.9669867;1.11E-05
-4.9659866;1.11E-05
-4.9649865;1.11E-05
-4.9639864;1.11E-05
-4.9629863;1.11E-05
-4.9619862;1.11E-05
-4.9609861;1.11E-05
-4.959986;1.11E-05
-4.9589859;1.11E-05
-4.9579858;1.11E-05
-4.9569857;1.11E-05
-4.9559856;1.11E-05
-4.9549855;1.11E-05
-4.9539854;1.11E-05
-4.9529853;1.11E-05
-4.9519852;1.11E-05
-4.9509851;1.11E-05
-4.949984999;1.11E-05
-4.948984899;1.11E-05
-4.947984799;1.11E-05
-4.946984699;1.11E-05
-4.945984599;1.11E-05
-4.944984499;1.11E-05
-4.943984399;1.11E-05
-4.942984299;1.11E-05
-4.941984199;1.11E-05
-4.940984099;1.11E-05
-4.939983999;1.11E-05
-4.938983899;1.11E-05
-4.937983799;1.11E-05
-4.936983699;1.11E-05
-4.935983599;1.11E-05
-4.934983499;1.11E-05
-4.933983399;1.11E-05
-4.932983299;1.11E-05
-4.931983199;1.11E-05
-4.930983099;1.11E-05
-4.929982999;1.11E-05
-4.928982899;1.11E-05
-4.927982799;1.11E-05
-4.926982699;1.11E-05
-4.925982599;1.11E-05
-4.924982499;1.11E-05
-4.923982399;1.11E-05
-4.922982299;1.11E-05
-4.921982199;1.11E-05
-4.920982099;1.11E-05
-4.919981999;1.11E-05
-4.918981899;1.11E-05
-4.917981799;1.11E-05
-4.916981699;1.11E-05
-4.915981599;1.11E-05
-4.914981499;1.11E-05
-4.913981399;1.11E-05
-4.912981299;1.11E-05
-4.911981199;1.11E-05
