X;Y
-4.99999;4.32E-05
-4.9989899;4.32E-05
-4.9979898;4.32E-05
-4.9969897;4.32E-05
-4.9959896;4.32E-05
-4.9949895;4.32E-05
-4.9939894;4.32E-05
-4.9929893;4.32E-05
-4.9919892;4.32E-05
-4.9909891;4.32E-05
-4.989989;4.32E-05
-4.9889889;4.32E-05
-4.9879888;4.32E-05
-4.9869887;4.32E-05
-4.9859886;4.32E-05
-4.9849885;4.32E-05
-4.9839884;4.32E-05
-4.9829883;4.32E-05
-4.9819882;4.32E-05
-4.9809881;4.32E-05
-4.979988;4.32E-05
-4.9789879;4.32E-05
-4.9779878;4.32E-05
-4.9769877;4.32E-05
-4.9759876;4.32E-05
-4.9749875;4.32E-05
-4.9739874;4.32E-05
-4.9729873;4.32E-05
-4.9719872;4.32E-05
-4.9709871;4.32E-05
-4.969987;4.32E-05
-4.9689869;4.32E-05
-4.9679868;4.32E-05
-4.9669867;4.32E-05
-4.9659866;4.32E-05
-4.9649865;4.32E-05
-4.9639864;4.32E-05
-4.9629863;4.32E-05
-4.9619862;4.32E-05
-4.9609861;4.32E-05
-4.959986;4.32E-05
-4.9589859;4.32E-05
-4.9579858;4.32E-05
-4.9569857;4.32E-05
-4.9559856;4.32E-05
-4.9549855;4.32E-05
-4.9539854;4.32E-05
-4.9529853;4.32E-05
-4.9519852;4.32E-05
-4.9509851;4.32E-05
-4.949984999;4.32E-05
-4.948984899;4.32E-05
-4.947984799;4.32E-05
-4.946984699;4.32E-05
-4.945984599;4.32E-05
-4.944984499;4.32E-05
-4.943984399;4.32E-05
-4.942984299;4.32E-05
-4.941984199;4.32E-05
-4.940984099;4.32E-05
-4.939983999;4.32E-05
-4.938983899;4.32E-05
-4.937983799;4.32E-05
-4.936983699;4.32E-05
-4.935983599;4.32E-05
-4.934983499;4.32E-05
-4.933983399;4.32E-05
-4.932983299;4.32E-05
-4.931983199;4.32E-05
-4.930983099;4.32E-05
-4.929982999;4.32E-05
-4.928982899;4.32E-05
-4.927982799;4.32E-05
-4.926982699;4.32E-05
-4.925982599;4.32E-05
-4.924982499;4.32E-05
-4.923982399;4.32E-05
-4.922982299;4.32E-05
-4.921982199;4.32E-05
-4.920982099;4.32E-05
-4.919981999;4.32E-05
-4.918981899;4.32E-05
-4.917981799;4.32E-05
-4.916981699;4.32E-05
-4.915981599;4.32E-05
-4.914981499;4.32E-05
-4.913981399;4.32E-05
-4.912981299;4.32E-05
-4.911981199;4.32E-05
-4.910981099;4.32E-05
-4.909980999;4.32E-05
-4.908980899;4.32E-05
-4.907980799;4.32E-05
-4.906980699;4.32E-05
-4.905980599;4.32E-05
-4.904980499;4.32E-05
