X;Y
-8.99999;1.95E-05
-8.99818982;1.95E-05
-8.99638964;1.95E-05
-8.99458946;1.95E-05
-8.99278928;1.95E-05
-8.9909891;1.95E-05
-8.98918892;1.95E-05
-8.98738874;1.95E-05
-8.98558856;1.95E-05
-8.98378838;1.95E-05
-8.9819882;1.95E-05
-8.98018802;1.95E-05
-8.97838784;1.95E-05
-8.97658766;1.95E-05
-8.97478748;1.95E-05
-8.9729873;1.95E-05
-8.97118712;1.95E-05
-8.96938694;1.95E-05
-8.96758676;1.95E-05
-8.96578658;1.95E-05
-8.9639864;1.95E-05
-8.96218622;1.95E-05
-8.96038604;1.95E-05
-8.95858586;1.95E-05
-8.95678568;1.95E-05
-8.9549855;1.95E-05
-8.95318532;1.95E-05
-8.95138514;1.95E-05
-8.949584959;1.95E-05
-8.947784779;1.95E-05
-8.945984599;1.95E-05
-8.944184419;1.95E-05
-8.942384239;1.95E-05
-8.940584059;1.95E-05
-8.938783879;1.95E-05
-8.936983699;1.95E-05
-8.935183519;1.95E-05
-8.933383339;1.95E-05
-8.931583159;1.95E-05
-8.929782979;1.95E-05
-8.927982799;1.95E-05
-8.926182619;1.95E-05
-8.924382439;1.95E-05
-8.922582259;1.95E-05
-8.920782079;1.95E-05
-8.918981899;1.95E-05
-8.917181719;1.95E-05
-8.915381539;1.95E-05
-8.913581359;1.95E-05
-8.911781179;1.95E-05
-8.909980999;1.95E-05
-8.908180819;1.95E-05
-8.906380639;1.95E-05
-8.904580459;1.95E-05
-8.902780279;1.95E-05
-8.900980099;1.95E-05
-8.899179919;1.95E-05
-8.897379739;1.95E-05
-8.895579559;1.95E-05
-8.893779379;1.95E-05
-8.891979199;1.95E-05
-8.890179019;1.95E-05
-8.888378839;1.95E-05
-8.886578659;1.95E-05
-8.884778479;1.95E-05
-8.882978299;1.95E-05
-8.881178119;1.95E-05
-8.879377939;1.95E-05
-8.877577759;1.95E-05
-8.875777579;1.95E-05
-8.873977399;1.95E-05
-8.872177219;1.95E-05
-8.870377039;1.95E-05
-8.868576859;1.95E-05
-8.866776679;1.95E-05
-8.864976499;1.95E-05
-8.863176319;1.95E-05
-8.861376139;1.95E-05
-8.859575959;1.95E-05
-8.857775779;1.95E-05
-8.855975599;1.95E-05
-8.854175419;1.95E-05
-8.852375239;1.95E-05
-8.850575059;1.95E-05
-8.848774878;1.95E-05
-8.846974698;1.95E-05
-8.845174518;1.95E-05
-8.843374338;1.95E-05
-8.841574158;1.95E-05
-8.839773978;1.95E-05
-8.837973798;1.95E-05
-8.836173618;1.95E-05
-8.834373438;1.95E-05
-8.832573258;1.95E-05
-8.830773078;1.95E-05
-8.828972898;1.95E-05
-8.827172718;1.95E-05
-8.825372538;1.95E-05
-8.823572358;1.95E-05
-8.821772178;1.95E-05
-8.819971998;1.95E-05
-8.818171818;1.95E-05
-8.816371638;1.95E-05
-8.814571458;1.95E-05
-8.812771278;1.95E-05
-8.810971098;1.95E-05
-8.809170918;1.95E-05
-8.807370738;1.95E-05
-8.805570558;1.95E-05
-8.803770378;1.95E-05
-8.801970198;1.95E-05
-8.800170018;1.95E-05
-8.798369838;1.95E-05
-8.796569658;1.95E-05
-8.794769478;1.95E-05
-8.792969298;1.95E-05
-8.791169118;1.95E-05
-8.789368938;1.95E-05
-8.787568758;1.95E-05
-8.785768578;1.95E-05
-8.783968398;1.95E-05
-8.782168218;1.95E-05
-8.780368038;1.95E-05
-8.778567858;1.95E-05
-8.776767678;1.95E-05
-8.774967498;1.95E-05
-8.773167318;1.95E-05
-8.771367138;1.95E-05
-8.769566958;1.95E-05
-8.767766778;1.95E-05
-8.765966598;1.95E-05
-8.764166418;1.95E-05
-8.762366238;1.95E-05
-8.760566058;1.95E-05
-8.758765878;1.95E-05
-8.756965698;1.95E-05
-8.755165518;1.95E-05
-8.753365338;1.95E-05
-8.751565158;1.95E-05
-8.749764977;1.95E-05
-8.747964797;1.95E-05
-8.746164617;1.95E-05
-8.744364437;1.95E-05
-8.742564257;1.95E-05
-8.740764077;1.95E-05
-8.738963897;1.95E-05
-8.737163717;1.95E-05
-8.735363537;1.95E-05
-8.733563357;1.95E-05
-8.731763177;1.95E-05
-8.729962997;1.95E-05
-8.728162817;1.95E-05
-8.726362637;1.95E-05
-8.724562457;1.95E-05
-8.722762277;1.95E-05
-8.720962097;1.95E-05
-8.719161917;1.95E-05
-8.717361737;1.95E-05
-8.715561557;1.95E-05
-8.713761377;1.95E-05
-8.711961197;1.95E-05
-8.710161017;1.95E-05
-8.708360837;1.95E-05
-8.706560657;1.95E-05
-8.704760477;1.95E-05
-8.702960297;1.95E-05
-8.701160117;1.95E-05
-8.699359937;1.95E-05
-8.697559757;1.95E-05
-8.695759577;1.95E-05
-8.693959397;1.95E-05
-8.692159217;1.95E-05
-8.690359037;1.95E-05
-8.688558857;1.95E-05
-8.686758677;1.95E-05
-8.684958497;1.95E-05
-8.683158317;1.95E-05
-8.681358137;1.95E-05
-8.679557957;1.95E-05
-8.677757777;1.95E-05
-8.675957597;1.95E-05
-8.674157417;1.95E-05
-8.672357237;1.95E-05
-8.670557057;1.95E-05
-8.668756877;1.95E-05
-8.666956697;1.95E-05
-8.665156517;1.95E-05
-8.663356337;1.95E-05
-8.661556157;1.95E-05
-8.659755977;1.95E-05
-8.657955797;1.95E-05
-8.656155617;1.95E-05
-8.654355437;1.95E-05
-8.652555257;1.95E-05
-8.650755077;1.95E-05
-8.648954896;1.95E-05
-8.647154716;1.95E-05
-8.645354536;1.95E-05
-8.643554356;1.95E-05
-8.641754176;1.95E-05
-8.639953996;1.95E-05
-8.638153816;1.95E-05
-8.636353636;1.95E-05
-8.634553456;1.95E-05
-8.632753276;1.95E-05
-8.630953096;1.95E-05
-8.629152916;1.95E-05
-8.627352736;1.95E-05
-8.625552556;1.95E-05
-8.623752376;1.95E-05
-8.621952196;1.95E-05
-8.620152016;1.95E-05
-8.618351836;1.95E-05
-8.616551656;1.95E-05
-8.614751476;1.95E-05
-8.612951296;1.95E-05
-8.611151116;1.95E-05
-8.609350936;1.95E-05
-8.607550756;1.95E-05
-8.605750576;1.95E-05
-8.603950396;1.95E-05
-8.602150216;1.95E-05
-8.600350036;1.95E-05
-8.598549856;1.95E-05
-8.596749676;1.95E-05
-8.594949496;1.95E-05
-8.593149316;1.95E-05
-8.591349136;1.95E-05
-8.589548956;1.95E-05
-8.587748776;1.95E-05
-8.585948596;1.95E-05
-8.584148416;1.95E-05
-8.582348236;1.95E-05
-8.580548056;1.95E-05
-8.578747876;1.95E-05
-8.576947696;1.95E-05
-8.575147516;1.95E-05
-8.573347336;1.95E-05
-8.571547156;1.95E-05
-8.569746976;1.95E-05
-8.567946796;1.95E-05
-8.566146616;1.95E-05
-8.564346436;1.95E-05
-8.562546256;1.95E-05
-8.560746076;1.95E-05
-8.558945896;1.95E-05
-8.557145716;1.95E-05
-8.555345536;1.95E-05
-8.553545356;1.95E-05
-8.551745176;1.95E-05
-8.549944995;1.95E-05
-8.548144815;1.95E-05
-8.546344635;1.95E-05
-8.544544455;1.95E-05
-8.542744275;1.95E-05
-8.540944095;1.95E-05
-8.539143915;1.95E-05
-8.537343735;1.95E-05
-8.535543555;1.95E-05
-8.533743375;1.95E-05
-8.531943195;1.95E-05
-8.530143015;1.95E-05
-8.528342835;1.95E-05
-8.526542655;1.95E-05
-8.524742475;1.95E-05
-8.522942295;1.95E-05
-8.521142115;1.95E-05
-8.519341935;1.95E-05
-8.517541755;1.95E-05
-8.515741575;1.95E-05
-8.513941395;1.95E-05
-8.512141215;1.95E-05
-8.510341035;1.95E-05
-8.508540855;1.95E-05
-8.506740675;1.95E-05
-8.504940495;1.95E-05
-8.503140315;1.95E-05
-8.501340135;1.95E-05
-8.499539955;1.95E-05
-8.497739775;1.95E-05
-8.495939595;1.95E-05
-8.494139415;1.95E-05
-8.492339235;1.95E-05
-8.490539055;1.95E-05
-8.488738875;1.95E-05
-8.486938695;1.95E-05
-8.485138515;1.95E-05
-8.483338335;1.95E-05
-8.481538155;1.95E-05
-8.479737975;1.95E-05
-8.477937795;1.95E-05
-8.476137615;1.95E-05
-8.474337435;1.95E-05
-8.472537255;1.95E-05
-8.470737075;1.95E-05
-8.468936895;1.95E-05
-8.467136715;1.95E-05
-8.465336535;1.95E-05
-8.463536355;1.95E-05
-8.461736175;2.64E-05
-8.459935995;2.64E-05
-8.458135815;2.64E-05
-8.456335635;2.64E-05
-8.454535455;2.64E-05
-8.452735275;2.64E-05
-8.450935095;2.64E-05
-8.449134914;2.64E-05
-8.447334734;2.64E-05
-8.445534554;2.64E-05
-8.443734374;2.64E-05
-8.441934194;2.64E-05
-8.440134014;2.64E-05
-8.438333834;2.64E-05
-8.436533654;2.64E-05
-8.434733474;2.64E-05
-8.432933294;2.64E-05
-8.431133114;2.64E-05
-8.429332934;2.64E-05
-8.427532754;2.64E-05
-8.425732574;2.64E-05
-8.423932394;2.64E-05
-8.422132214;2.64E-05
-8.420332034;2.64E-05
-8.418531854;2.64E-05
-8.416731674;2.64E-05
-8.414931494;2.64E-05
-8.413131314;2.64E-05
-8.411331134;2.64E-05
-8.409530954;2.64E-05
-8.407730774;2.64E-05
-8.405930594;2.64E-05
-8.404130414;2.64E-05
-8.402330234;2.64E-05
-8.400530054;2.64E-05
-8.398729874;2.64E-05
-8.396929694;2.64E-05
-8.395129514;2.64E-05
-8.393329334;2.64E-05
-8.391529154;2.64E-05
